Rafal Kurzawa, 6.50
Arkadiusz Milik, 6.23
Artur Jedrzejczyk, 6.50
Bartosz Bereszynski, 6.72
Bartosz Bialkowski, 6.79
Dawid Kownacki, 6.45
Grzegorz Krychowiak, 6.75
Jacek Goralski, 7.38
Jakub Blaszczykowski, 6.5
Jan Bednarek, 6.67
Kamil Grosicki, 6.73
Karol Linetty, 6.83
Lukasz Fabianski, 6.89
Lukasz Piszczek, 7.15
Lukasz Teodorczyk, 6.45
Maciej Rybus, 6.71
Marcin Kaminski, 6.71
Michal Pazdan, 6.50
Piotr Zielinski, 6.77
Robert Lewandowski, 7.44
Slawomir Peszko, 6.50
Thiago Cionek, 7.16
Wojciech Szczesny, 6.81
